,Label (Grouping),Population 18 to 24 years,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,Population 25 years and over,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate (includes equivalency).1,"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,Percent high school graduate or higher,Percent bachelor's degree or higher,Population 25 to 34 years,High school graduate or higher,Bachelor's degree or higher,Population 35 to 44 years,High school graduate or higher.1,Bachelor's degree or higher.1,Population 45 to 64 years,High school graduate or higher.2,Bachelor's degree or higher.2,Population 65 years and over,High school graduate or higher.3,Bachelor's degree or higher.3,White alone,White alone High school graduate or higher,White alone Bachelor's degree or higher,"White alone, not Hispanic or Latino","White alone, not Hispanic or Latino High school graduate or higher","White alone, not Hispanic or Latino Bachelor's degree or higher",Black alone,Black alone High school graduate or higher,Black alone Bachelor's degree or higher,American Indian or Alaska Native alone,American Indian or Alaska Native alone High school graduate or higher,American Indian or Alaska Native alone Bachelor's degree or higher,Asian alone,Asian alone High school graduate or higher,Asian alone Bachelor's degree or higher,Native Hawaiian and Other Pacific Islander alone,Native Hawaiian and Other Pacific Islander alone  High school graduate or higher,Native Hawaiian and Other Pacific Islander alone Bachelor's degree or higher,Some other race alone,Some other race alone High school graduate or higher,Some other race alone Bachelor's degree or higher,Two or more races,Two or more races High school graduate or higher,Two or more races Bachelor's degree or higher,Hispanic or Latino Origin,Hispanic or Latino Origin High school graduate or higher,Hispanic or Latino Origin Bachelor's degree or higher,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher.4,Population 25 years and over with earnings,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree,Graduate or professional degree
9044,"Roanoke County, Virginia!!Females!!Estimate","3,771",468,"1,678","1,435",190,"35,322",836,"1,238","8,604","8,389","4,278","7,299","4,678",,,"5,099","4,745","2,787","5,582","5,494","2,409","13,921","13,790","4,737","10,720","9,219","2,044","32,637","30,652","10,424","31,737","29,817","10,320","1,779","1,690","1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"35,858","8,859","30,418","31,479","41,114","46,621"
9048,"Rockingham County, Virginia!!Total!!Estimate","7,598",616,"3,625","3,139",218,"53,621","4,564","5,624","18,049","9,165","3,341","7,906","4,972",,,"8,557","7,651","2,307","8,781","7,611","2,998","21,935","17,936","5,352","14,348","10,235","2,221","51,129","41,715","12,368","49,748","40,995","12,353",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"33,215","31,079","26,958","32,798","46,100","51,438"
9052,"Rockingham County, Virginia!!Males!!Estimate","3,711",351,"1,870","1,355",135,"25,546","2,370","2,824","9,225","4,358","1,597","3,153","2,019",,,"4,130","3,688","1,040","4,359","3,745","1,193","10,673","8,471","1,942","6,384","4,448",997,"24,454","19,535","4,958","23,842","19,182","4,943",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"40,277","33,250","33,701","41,901","55,307","61,136"
9056,"Rockingham County, Virginia!!Females!!Estimate","3,887",265,"1,755","1,784",83,"28,075","2,194","2,800","8,824","4,807","1,744","4,753","2,953",,,"4,427","3,963","1,267","4,422","3,866","1,805","11,262","9,465","3,410","7,964","5,787","1,224","26,675","22,180","7,410","25,906","21,813","7,410",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"26,757","13,514","22,027","27,147","40,740","46,188"
9060,"Spotsylvania County, Virginia!!Total!!Estimate","11,373","1,367","3,727","4,416","1,863","85,948","2,926","6,007","27,479","16,492","6,236","16,458","10,350",,,"15,290","14,777","4,224","18,239","16,095","6,622","35,891","32,626","12,042","16,528","13,517","3,920","66,438","59,657","21,614","62,437","57,232","20,903","13,109","11,502","3,011",0,0,0,0,0,0,0,0,0,0,0,0,"1,584","1,555",680,"6,353","4,310","1,271",,,,,"42,065","23,487","29,478","41,399","61,741","70,566"
9064,"Spotsylvania County, Virginia!!Males!!Estimate","5,291",768,"2,201","1,656",666,"41,897","1,680","3,350","13,140","7,894","2,069","8,714","5,050",,,"7,552","7,165","1,854","9,438","7,800","2,838","17,630","15,974","6,908","7,277","5,928","2,164","32,671","28,778","10,833","30,092","27,458","10,717","6,416","5,599","1,708",0,0,0,0,0,0,0,0,0,0,0,0,788,788,471,"3,801","2,242",455,,,,,"52,099","24,622","36,346","60,343","72,112","100,928"
9068,"Spotsylvania County, Virginia!!Females!!Estimate","6,082",599,"1,526","2,760","1,197","44,051","1,246","2,657","14,339","8,598","4,167","7,744","5,300",,,"7,738","7,612","2,370","8,801","8,295","3,784","18,261","16,652","5,134","9,251","7,589","1,756","33,767","30,879","10,781","32,345","29,774","10,186","6,693","5,903","1,303",0,0,0,0,0,0,0,0,0,0,0,0,796,767,209,"2,552","2,068",816,,,,,"32,419","10,762","21,792","35,694","46,137","50,971"
9072,"Stafford County, Virginia!!Total!!Estimate","14,762","2,258","6,080","4,701","1,723","89,541","2,223","4,021","19,599","22,565","8,947","18,097","14,089",,,"17,021","15,956","5,103","20,589","20,016","7,703","38,436","36,001","14,885","13,495","11,324","4,495","63,880","60,266","23,008","60,192","56,578","21,644","15,979","14,227","6,304",0,0,0,"3,383","3,234","1,530",0,0,0,0,0,0,"1,921","1,773",771,"8,365","7,679","1,949",,,,,"52,132","27,116","37,170","45,208","75,705","91,153"
9076,"Stafford County, Virginia!!Males!!Estimate","7,879","1,007","3,693","2,010","1,169","44,407","1,265","1,555","11,396","9,817","3,942","8,553","7,879",,,"8,798","8,205","1,816","10,944","10,533","3,559","18,584","17,407","8,365","6,081","5,442","2,692","31,614","29,890","11,774","30,219","28,495","11,229","8,363","7,660","3,625",0,0,0,"1,461","1,383",538,0,0,0,0,0,0,"1,015",913,293,"3,715","3,389",671,,,,,"71,660","29,503","42,323","68,404","99,343","108,601"
9080,"Stafford County, Virginia!!Females!!Estimate","6,883","1,251","2,387","2,691",554,"45,134",958,"2,466","8,203","12,748","5,005","9,544","6,210",,,"8,223","7,751","3,287","9,645","9,483","4,144","19,852","18,594","6,520","7,414","5,882","1,803","32,266","30,376","11,234","29,973","28,083","10,415","7,616","6,567","2,679",0,0,0,"1,922","1,851",992,0,0,0,0,0,0,906,860,478,"4,650","4,290","1,278",,,,,"40,897","18,553","30,625","32,119","58,820","80,425"
9084,"York County, Virginia!!Total!!Estimate","5,932",738,"2,016","2,544",634,"45,380","1,390","1,129","9,600","9,346","4,885","10,401","8,629",,,"7,542","7,458","2,555","8,765","8,133","3,594","18,952","18,359","9,873","10,121","8,911","3,008","34,839","33,447","14,763","33,410","32,169","14,520","6,026","5,405","1,856",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,186","1,795",388,,,,,"47,364","15,866","41,748","39,664","51,267","82,612"
9088,"York County, Virginia!!Males!!Estimate","3,433",504,"1,516","1,148",265,"21,423",707,773,"4,400","4,398","1,680","4,834","4,631",,,"3,334","3,302","1,150","4,814","4,485","2,000","8,702","8,372","4,771","4,573","3,784","1,544","16,756","15,813","7,720","16,283","15,429","7,656","2,697","2,355",596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,967,711,171,,,,,"67,097","16,692","44,428","54,466","71,645","109,294"
9092,"York County, Virginia!!Females!!Estimate","2,499",234,500,"1,396",369,"23,957",683,356,"5,200","4,948","3,205","5,567","3,998",,,"4,208","4,156","1,405","3,951","3,648","1,594","10,250","9,987","5,102","5,548","5,127","1,464","18,083","17,634","7,043","17,127","16,740","6,864","3,329","3,050","1,260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,219","1,084",217,,,,,"36,877","11,585","26,042","34,382","35,475","61,674"
9096,"Alexandria city, Virginia!!Total!!Estimate","9,101","1,270","2,010","3,738","2,083","116,855","6,185","3,188","15,701","16,594","5,310","31,611","38,266",,,"34,707","32,135","21,312","29,079","27,019","17,484","37,154","34,557","22,612","15,915","13,771","8,469","77,486","72,298","54,326","65,288","64,608","51,407","22,286","19,485","7,693",0,0,0,"8,570","8,290","5,399",0,0,0,"2,671","1,959",433,"5,635","5,243","2,026","17,011","11,527","3,818",,,,,"56,341","21,432","24,920","37,026","70,159","83,469"
9100,"Alexandria city, Virginia!!Males!!Estimate","4,858",694,"1,435","2,065",664,"55,240","2,821","1,318","7,228","8,979","2,375","15,167","17,352",,,"15,883","14,407","8,876","15,069","13,769","8,374","17,410","16,598","10,754","6,878","6,327","4,515","37,288","34,964","25,216","31,132","30,874","23,878","10,117","9,312","3,776",0,0,0,"3,761","3,695","2,243",0,0,0,"1,355",803,202,"2,684","2,292","1,082","8,448","5,566","1,666",,,,,"63,635","22,756","24,403","41,648","76,241","104,195"
9104,"Alexandria city, Virginia!!Females!!Estimate","4,243",576,575,"1,673","1,419","61,615","3,364","1,870","8,473","7,615","2,935","16,444","20,914",,,"18,824","17,728","12,436","14,010","13,250","9,110","19,744","17,959","11,858","9,037","7,444","3,954","40,198","37,334","29,110","34,156","33,734","27,529","12,169","10,173","3,917",0,0,0,"4,809","4,595","3,156",0,0,0,"1,316","1,156",231,"2,951","2,951",944,"8,563","5,961","2,152",,,,,"51,082","20,453","25,906","28,035","57,351","71,916"
9108,"Chesapeake city, Virginia!!Total!!Estimate","21,210","2,835","8,194","7,946","2,235","157,207","3,392","9,612","36,904","42,381","14,879","31,549","18,490",,,"33,841","30,425","10,743","31,423","29,853","11,135","62,989","58,996","20,248","28,954","24,929","7,913","100,232","93,989","34,257","95,891","89,898","32,742","45,289","39,620","11,553",0,0,0,"6,075","5,493","2,869",0,0,0,0,0,0,"2,979","2,851","1,021","7,293","6,622","1,809",,,,,"41,561","26,514","30,226","40,975","51,404","60,294"
9112,"Chesapeake city, Virginia!!Males!!Estimate","10,887","1,752","3,947","4,317",871,"75,265","1,604","4,530","19,043","21,897","6,681","13,245","8,265",,,"17,502","15,842","4,647","15,042","14,098","3,906","30,244","28,092","9,145","12,477","11,099","3,812","49,063","46,219","16,228","46,828","43,984","15,426","20,704","17,781","3,593",0,0,0,"2,821","2,694","1,298",0,0,0,0,0,0,"1,167","1,039",246,"3,906","3,794",863,,,,,"50,745","40,488","35,916","48,494","72,027","90,311"
9116,"Chesapeake city, Virginia!!Females!!Estimate","10,323","1,083","4,247","3,629","1,364","81,942","1,788","5,082","17,861","20,484","8,198","18,304","10,225",,,"16,339","14,583","6,096","16,381","15,755","7,229","32,745","30,904","11,103","16,477","13,830","4,101","51,169","47,770","18,029","49,063","45,914","17,316","24,585","21,839","7,960",0,0,0,"3,254","2,799","1,571",0,0,0,0,0,0,"1,812","1,812",775,"3,387","2,828",946,,,,,"35,626","19,452","25,667","31,383","41,841","47,963"
9120,"Hampton city, Virginia!!Total!!Estimate","16,589","1,712","3,293","9,711","1,873","91,099","2,885","6,192","24,070","25,316","10,087","15,019","7,530",,,"21,774","20,577","6,172","15,048","13,619","3,986","34,850","31,725","7,410","19,427","16,101","4,981","41,354","37,045","10,148","39,101","34,972","9,525","42,870","39,178","10,406",0,0,0,"2,837","2,034",698,0,0,0,0,0,0,0,0,0,"3,633","3,393",738,,,,,"34,931","16,301","27,584","33,153","43,779","56,446"
9124,"Hampton city, Virginia!!Males!!Estimate","8,645","1,235","1,809","4,840",761,"42,850","1,324","2,717","12,729","12,069","4,165","6,281","3,565",,,"10,782","10,327","2,721","7,104","6,156","1,912","16,773","15,308","3,118","8,191","7,018","2,095","20,581","18,453","5,005","19,398","17,363","4,620","19,147","17,557","4,185",0,0,0,"1,301","1,182",293,0,0,0,0,0,0,0,0,0,"1,821","1,668",385,,,,,"42,125","13,472","33,774","45,151","50,280","66,001"
9128,"Hampton city, Virginia!!Females!!Estimate","7,944",477,"1,484","4,871","1,112","48,249","1,561","3,475","11,341","13,247","5,922","8,738","3,965",,,"10,992","10,250","3,451","7,944","7,463","2,074","18,077","16,417","4,292","11,236","9,083","2,886","20,773","18,592","5,143","19,703","17,609","4,905","23,723","21,621","6,221",0,0,0,"1,536",852,405,0,0,0,0,0,0,0,0,0,"1,812","1,725",353,,,,,"30,162","24,002","21,358","27,415","41,137","43,665"
9132,"Lynchburg city, Virginia!!Total!!Estimate","19,301","1,399","5,135","10,654","2,113","45,037","2,404","3,187","11,961","9,107","3,511","8,660","6,207",,,"11,064","10,370","4,101","7,045","6,499","2,414","15,829","13,960","5,004","11,099","8,617","3,348","29,199","26,362","12,109","28,612","25,965","12,016","13,627","11,193","1,606",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"30,708","20,391","21,767","29,148","36,732","55,376"
9136,"Lynchburg city, Virginia!!Males!!Estimate","10,166","1,025","2,657","5,952",532,"19,498","1,039","1,397","5,407","3,341",963,"4,357","2,994",,,"4,433","4,360","1,682","3,265","2,916","1,140","7,336","6,231","2,500","4,464","3,555","2,029","13,488","11,903","6,273","13,329","11,811","6,219","5,241","4,539",773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"35,340","27,665","26,799","31,363","41,956","60,641"
9140,"Lynchburg city, Virginia!!Females!!Estimate","9,135",374,"2,478","4,702","1,581","25,539","1,365","1,790","6,554","5,766","2,548","4,303","3,213",,,"6,631","6,010","2,419","3,780","3,583","1,274","8,493","7,729","2,504","6,635","5,062","1,319","15,711","14,459","5,836","15,283","14,154","5,797","8,386","6,654",833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"28,275","14,861","16,395","25,767","31,895","55,086"
9144,"Newport News city, Virginia!!Total!!Estimate","24,057","1,695","8,232","12,486","1,644","115,693","3,265","7,505","31,805","32,385","12,217","17,987","10,529",,,"30,502","28,393","7,576","20,862","19,308","5,654","42,400","39,350","10,869","21,929","17,872","4,417","60,319","56,253","18,382","56,312","52,587","17,361","44,808","40,172","8,432",0,0,0,"4,589","3,026",937,0,0,0,0,0,0,"2,776","2,630",472,"7,509","6,710","1,412",,,,,"36,460","27,400","27,247","33,407","44,437","56,263"
9148,"Newport News city, Virginia!!Males!!Estimate","12,473",647,"4,777","6,654",395,"54,554","1,680","4,400","14,298","14,282","5,887","9,238","4,769",,,"15,089","13,812","3,300","10,262","9,128","2,868","19,899","18,232","5,622","9,304","7,302","2,217","29,637","27,442","9,989","27,618","25,593","9,591","20,258","17,344","3,378",0,0,0,"2,160","1,278",307,0,0,0,0,0,0,"1,165","1,165",241,"3,926","3,614",563,,,,,"42,561","31,186","31,705","42,497","54,743","84,844"
9152,"Newport News city, Virginia!!Females!!Estimate","11,584","1,048","3,455","5,832","1,249","61,139","1,585","3,105","17,507","18,103","6,330","8,749","5,760",,,"15,413","14,581","4,276","10,600","10,180","2,786","22,501","21,118","5,247","12,625","10,570","2,200","30,682","28,811","8,393","28,694","26,994","7,770","24,550","22,828","5,054",0,0,0,"2,429","1,748",630,0,0,0,0,0,0,"1,611","1,465",231,"3,583","3,096",849,,,,,"31,237","21,838","22,049","30,503","38,816","47,301"
9156,"Norfolk city, Virginia!!Total!!Estimate","45,764","2,583","14,852","26,387","1,942","150,965","5,396","13,840","43,033","35,546","12,945","23,859","16,346",,,"46,244","42,885","12,375","26,801","24,487","8,576","52,695","45,553","13,409","25,225","18,804","5,845","78,676","72,947","28,704","72,954","68,726","27,858","59,031","47,289","8,161",0,0,0,"6,521","5,655","2,226",0,0,0,"2,341","2,002",113,"3,555","3,073",902,"8,873","6,983","1,365",,,,,"33,224","17,506","26,389","32,187","45,445","62,492"
9160,"Norfolk city, Virginia!!Males!!Estimate","28,005","1,227","9,594","16,075","1,109","75,274","2,656","6,794","22,392","17,106","6,463","11,207","8,656",,,"25,407","23,622","6,931","14,279","12,892","4,154","25,016","21,513","6,102","10,572","7,797","2,676","42,110","39,178","15,029","38,679","36,592","14,612","26,460","20,533","2,892",0,0,0,"2,967","2,602","1,203",0,0,0,945,841,0,"2,280","2,158",687,"4,935","3,986",749,,,,,"40,550","22,942","31,002","41,005","50,938","69,823"
9164,"Norfolk city, Virginia!!Females!!Estimate","17,759","1,356","5,258","10,312",833,"75,691","2,740","7,046","20,641","18,440","6,482","12,652","7,690",,,"20,837","19,263","5,444","12,522","11,595","4,422","27,679","24,040","7,307","14,653","11,007","3,169","36,566","33,769","13,675","34,275","32,134","13,246","32,571","26,756","5,269",0,0,0,"3,554","3,053","1,023",0,0,0,"1,396","1,161",113,"1,275",915,215,"3,938","2,997",616,,,,,"28,078","14,759","22,809","27,305","40,314","55,268"
9168,"Portsmouth city, Virginia!!Total!!Estimate","10,531",833,"4,058","4,347","1,293","62,610","2,525","6,796","17,261","15,088","6,194","9,483","5,263",,,"15,973","14,337","3,787","10,578","9,360","3,197","22,819","19,694","4,964","13,240","9,898","2,798","28,256","25,259","7,286","27,509","24,867","7,130","31,435","25,186","6,628",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"33,201","20,159","26,927","33,109","39,519","55,831"
9172,"Portsmouth city, Virginia!!Males!!Estimate","5,147",525,"2,406","1,917",299,"29,308","1,356","2,814","9,027","7,180","2,956","4,105","1,870",,,"8,313","7,609","1,450","5,021","4,528","1,424","10,638","9,063","2,053","5,336","3,938","1,048","13,959","12,586","3,337","13,565","12,441","3,284","13,364","10,625","2,149",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"40,809","18,572","32,509","44,616","45,476","62,593"
9176,"Portsmouth city, Virginia!!Females!!Estimate","5,384",308,"1,652","2,430",994,"33,302","1,169","3,982","8,234","7,908","3,238","5,378","3,393",,,"7,660","6,728","2,337","5,557","4,832","1,773","12,181","10,631","2,911","7,904","5,960","1,750","14,297","12,673","3,949","13,944","12,426","3,846","18,071","14,561","4,479",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"29,977","20,993","25,665","28,088","34,404","50,222"
9180,"Richmond city, Virginia!!Total!!Estimate","30,260","3,024","7,034","16,383","3,819","150,042","9,427","11,913","35,106","27,260","9,745","34,707","21,884",,,"46,057","42,226","20,617","25,859","22,499","10,534","52,786","44,071","18,093","25,340","19,906","7,347","73,818","67,496","44,157","67,556","64,720","43,319","68,100","54,369","9,452",0,0,0,0,0,0,0,0,0,0,0,0,"4,179","3,845",966,"7,722","3,504",887,,,,,"30,999","19,929","22,135","26,010","41,424","58,549"
9184,"Richmond city, Virginia!!Males!!Estimate","13,966","1,543","4,045","6,920","1,458","70,619","5,292","5,641","16,667","12,622","3,185","17,533","9,679",,,"22,702","20,772","10,099","12,799","11,147","5,162","24,743","19,989","8,187","10,375","7,778","3,764","37,136","33,332","21,087","33,499","31,808","20,577","29,558","23,105","4,712",0,0,0,0,0,0,0,0,0,0,0,0,"1,937","1,672",291,"4,297","1,900",533,,,,,"32,947","21,565","26,133","25,466","42,844","71,475"
9188,"Richmond city, Virginia!!Females!!Estimate","16,294","1,481","2,989","9,463","2,361","79,423","4,135","6,272","18,439","14,638","6,560","17,174","12,205",,,"23,355","21,454","10,518","13,060","11,352","5,372","28,043","24,082","9,906","14,965","12,128","3,583","36,682","34,164","23,070","34,057","32,912","22,742","38,542","31,264","4,740",0,0,0,0,0,0,0,0,0,0,0,0,"2,242","2,173",675,"3,425","1,604",354,,,,,"29,466","9,978","16,910","26,211","38,456","55,281"
9192,"Roanoke city, Virginia!!Total!!Estimate","8,788","1,679","3,444","2,771",894,"69,434","4,451","5,948","23,073","15,465","5,411","9,380","5,706",,,"15,793","13,939","3,204","12,585","10,046","3,598","25,790","23,065","5,431","15,266","11,985","2,853","49,198","43,239","12,905","45,647","40,464","11,762","16,994","13,342","1,294",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,854","2,986","1,143",,,,,"28,935","14,281","23,713","27,002","42,898","61,070"
9196,"Roanoke city, Virginia!!Males!!Estimate","4,325",905,"2,312",921,187,"32,491","2,670","2,938","10,541","7,806","2,082","3,833","2,621",,,"6,998","6,130",954,"6,830","5,439","1,967","12,387","10,897","2,304","6,276","4,417","1,229","23,525","20,780","5,814","21,201","18,856","5,411","7,830","5,242",333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,417","2,017",403,,,,,"30,756","13,815","30,249","29,019","60,514","76,674"
9200,"Roanoke city, Virginia!!Females!!Estimate","4,463",774,"1,132","1,850",707,"36,943","1,781","3,010","12,532","7,659","3,329","5,547","3,085",,,"8,795","7,809","2,250","5,755","4,607","1,631","13,403","12,168","3,127","8,990","7,568","1,624","25,673","22,459","7,091","24,446","21,608","6,351","9,164","8,100",961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,437",969,740,,,,,"27,014","14,563","17,055","23,417","40,760","52,123"
9204,"Suffolk city, Virginia!!Total!!Estimate","8,127",678,"3,453","3,531",465,"58,380","2,475","5,008","16,438","13,783","4,503","9,519","6,654",,,"11,169","9,897","3,199","11,260","10,838","3,348","23,997","20,681","6,621","11,954","9,481","3,005","32,631","30,508","11,095","31,486","29,395","10,916","23,296","18,215","4,611",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,238","2,016",622,,,,,"40,197","16,467","31,014","39,115","55,781","72,135"
9208,"Suffolk city, Virginia!!Males!!Estimate","4,459",340,"2,281","1,532",306,"27,343","1,323","2,181","8,305","6,742","1,371","4,503","2,918",,,"5,212","4,521","1,335","5,367","5,193","1,455","11,599","9,895","3,070","5,165","4,230","1,561","16,327","15,153","5,422","15,533","14,359","5,270","9,831","7,537","1,727",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,171","1,126",394,,,,,"50,430","14,872","40,284","42,136","76,540","101,979"
9212,"Suffolk city, Virginia!!Females!!Estimate","3,668",338,"1,172","1,999",159,"31,037","1,152","2,827","8,133","7,041","3,132","5,016","3,736",,,"5,957","5,376","1,864","5,893","5,645","1,893","12,398","10,786","3,551","6,789","5,251","1,444","16,304","15,355","5,673","15,953","15,036","5,646","13,465","10,678","2,884",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,067",890,228,,,,,"30,786","17,165","25,141","31,564","36,681","50,818"
9216,"Virginia Beach city, Virginia!!Total!!Estimate","45,570","2,821","14,521","24,769","3,459","305,033","7,340","13,887","68,972","82,121","32,755","66,017","33,941",,,"76,016","71,589","21,544","58,189","55,179","21,814","113,572","106,728","38,580","57,256","50,310","18,020","213,818","202,608","73,048","201,098","191,673","69,979","55,310","48,595","12,909",0,0,0,"21,836","19,955","9,791",0,0,0,"4,120","3,221",543,"9,246","8,724","3,325","19,935","17,310","4,403",,,,,"40,386","25,707","32,059","35,522","51,401","65,704"
9220,"Virginia Beach city, Virginia!!Males!!Estimate","23,894","1,661","9,312","11,558","1,363","146,502","2,698","6,315","37,006","40,603","14,406","28,679","16,795",,,"39,051","36,858","9,770","29,414","27,781","9,509","53,688","50,920","17,217","24,349","21,930","8,978","104,953","99,573","34,216","98,211","93,552","32,832","25,837","23,025","4,913",0,0,0,"9,338","8,803","4,020",0,0,0,"1,688","1,550",338,"4,308","4,160","1,769","9,900","9,041","2,282",,,,,"47,128","31,622","40,100","43,803","63,132","81,508"
9224,"Virginia Beach city, Virginia!!Females!!Estimate","21,676","1,160","5,209","13,211","2,096","158,531","4,642","7,572","31,966","41,518","18,349","37,338","17,146",,,"36,965","34,731","11,774","28,775","27,398","12,305","59,884","55,808","21,363","32,907","28,380","9,042","108,865","103,035","38,832","102,887","98,121","37,147","29,473","25,570","7,996",0,0,0,"12,498","11,152","5,771",0,0,0,"2,432","1,671",205,"4,938","4,564","1,556","10,035","8,269","2,121",,,,,"31,884","20,045","24,638","30,360","42,636","51,545"
