Less than 9th grade,"9th to 12th grade, no diploma","Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,Population 25 to 34 years,Population 35 to 44 years,Population 45 to 64 years,Population 65 years and over,White alone,White alone High school graduate or higher,White alone Bachelor's degree or higher,Black alone,Black alone High school graduate or higher,Black alone Bachelor's degree or higher,Asian alone,Asian aloneÂ High school graduate or higher,Asian aloneÂ Bachelor's degree or higher,Hispanic or Latino Origin,Hispanic or Latino OriginÂ High school graduate or higher,Hispanic or Latino OriginÂ Bachelor's degree or higher,Counties,Total Population
0.20731399,0.031710811,0.085386063,0.066019717,0.024197399,1.257492346,0.031219279,0.05646996,0.316897452,0.125649524,0.254149931,0.19786254,0.239038845,0.289146982,0.539785973,0.189520546,0.897115412,0.846361262,0.323118838,0.224405247,0.199800579,0.088531865,STAFFORD,104303
0.134314502,0.016710065,0.045647006,0.057602174,0.014355259,1.027510472,0.031472886,0.025563229,0.211615533,0.110607947,0.235503227,0.195380958,0.170768708,0.198460319,0.42911808,0.229163365,0.788837315,0.757319144,0.334269218,0.136442885,0.122381977,0.042024227,YORK,51312
0.127812263,0.017835576,0.028227958,0.052495576,0.029253153,1.641083617,0.086860658,0.044771508,0.233042159,0.074572367,0.443937309,0.537398534,0.487416791,0.408378507,0.521781872,0.223506446,1.088194815,1.015335786,0.762941325,0.312979243,0.273642671,0.108038648,ALEXANDRIA,125956
0.480244538,0.064191102,0.185531529,0.179916223,0.050605683,3.559538096,0.076802898,0.217638401,0.959606023,0.336895732,0.714343938,0.418657308,0.766240235,0.711491,1.426219857,0.655587003,2.269489415,2.128133137,0.775659459,1.025450017,0.897090456,0.26158723,CHESAPEAKE,178417
0.232971941,0.024042918,0.046246103,0.136378957,0.026303963,1.279372525,0.040516249,0.086958964,0.355531837,0.141659411,0.210923237,0.105749515,0.305788838,0.211330506,0.489425048,0.272828132,0.580765666,0.520251102,0.14251608,0.602056007,0.550206443,0.14613937,HAMPTON,107688
0.437020265,0.031676667,0.116268538,0.241231745,0.047843315,1.019744141,0.054432243,0.072161214,0.206204008,0.07949734,0.196082871,0.140541152,0.250515114,0.159515453,0.358405978,0.251307597,0.661134382,0.596897996,0.274176384,0.308547492,0.253435979,0.036363636,LYNCHBURG,64338
0.337850743,0.023804174,0.115608235,0.175350392,0.023087942,1.624764767,0.045852878,0.105398421,0.454807179,0.17157262,0.252605118,0.147866753,0.428362778,0.292980929,0.595455439,0.307965621,0.847105581,0.790003651,0.258152403,0.629272814,0.564165941,0.118416987,NEWPORT,139750
1.03620514,0.058485226,0.336284388,0.597464055,0.043971471,3.418204461,0.122178195,0.313370316,0.804845466,0.2931054,0.540224159,0.37011208,1.047073474,0.606837994,1.193139364,0.571153628,1.781410619,1.651692517,0.649926412,1.336601381,1.070734745,0.184784331,NORFOLK,196729
0.14789484,0.011698452,0.05698958,0.061048226,0.018158582,0.879279836,0.035460495,0.095441395,0.211892256,0.086987052,0.133176979,0.073912311,0.224320984,0.148554897,0.320464568,0.185939387,0.396820493,0.354731343,0.102322838,0.441465607,0.353706148,0.093082044,PORTSMOUTH,73141
0.68515793,0.068470508,0.159266387,0.370949847,0.086471188,3.397305559,0.213449564,0.269738481,0.617230839,0.220649836,0.785848523,0.495505491,1.042839352,0.585508887,1.195199819,0.5737575,1.671414016,1.528268991,0.999818861,1.541944979,1.231042681,0.214015623,RICHMOND,180302
0.123416566,0.023579474,0.048366711,0.03891526,0.012555122,0.975114457,0.062508777,0.083532287,0.217186754,0.075990787,0.131730472,0.080133697,0.221793107,0.176740724,0.36218858,0.214392046,0.690924922,0.607238154,0.181234727,0.238659664,0.187371851,0.018172626,ROANOKE,78222
0.184014491,0.015351523,0.078184082,0.079950187,0.010528699,1.321861202,0.056039851,0.113392958,0.312079701,0.101958564,0.215532662,0.150662289,0.252892562,0.254953017,0.543348806,0.270666818,0.738842975,0.690773237,0.251217027,0.527476509,0.412430658,0.10440394,SUFFOLK,66507
0.639974159,0.039617448,0.203929444,0.3478499,0.048577367,4.283810353,0.103081201,0.1950257,1.153287644,0.460003371,0.927126928,0.47665927,1.067550487,0.817192371,1.594977951,0.804089543,3.002808752,2.845378198,1.025868607,0.776760385,0.682456535,0.181290902,VIRGINIA,350603
